"v1300"
"商品ID","バリエーションID","削除設定 ※削除の場合のみ入力","カテゴリーID","【必須】商品名 ※49文字","商品名（レシート用） ※49文字 ・未設定の場合は商品名が印字されます。","商品名（商品入力用） ※49文字 ・未設定の場合は商品名が印字されます。","バリエーション（種別1） ※32文字","バリエーション（種別2） ※32文字","税設定 ※「外税」「内税」のいずれかを入力","適用税率 ※「標準税率」「軽減税率」「注文時に選択」「非課税」のいずれかを入力","税率別価格 ※適用税率が「注文時に選択」で税設定が「内税」の場合に「統一した価格を設定」「税率別に価格を設定」のいずれかを入力","価格設定 ※「通常」「部門打ち」「量り売り」のいずれかを入力","販売単位ID","【必須】価格 ※半角数字","価格2 ※税率別に価格を指定する場合に入力","原価 ※半角数字","商品コード ※24文字","自動発番（バーコード）※自動発番はJAN(EAN)コードで発番されます。","バーコード","ポイント付与対象 ※「対象」「対象外」のいずれかを入力","表示/非表示 ※「表示」「非表示」のいずれかを入力","レシート印字設定 ※「印字する」「印字しない」のいずれかを入力","登録番号印字設定 ※「印字する」「印字しない」のいずれかを入力","備考 ※1000文字","旧商品コード ※通常入力しません","分析タグID ※通常入力しません"
"0001","","","0001","カット(一般)","パーソナライズカット","カット","","","外税","標準税率","","通常","","4500","","0","","","","対象","表示","印字する","印字する","","",""
"0125","","","0024","MENs CUT","MENs CUT","MENs CUT","","","外税","標準税率","","通常","","4000","","","","","","対象","表示","印字する","印字する","","",""
"0036","","","0025","カット(大学生・専門学生)","カット(大学生)","カット(大学生)","","","外税","標準税率","","通常","","3500","","","","","","対象","表示","印字する","印字する","","",""
"0024","","","0025","カット（Under-18）","カット（Under-18）","カット（Under-18）","","","外税","標準税率","","通常","","3500","","","","","","対象","表示","印字する","印字する","","",""
"0025","","","0025","カット（Under-12）","カット（Under-12）","カット（Under-12）","","","外税","標準税率","","通常","","2500","","","","","","対象","表示","印字する","印字する","","",""
"10035","","","0025","men's学生  専門学生","men's学生  専門学生","men's学生  専門学生","","","外税","標準税率","","通常","","3500","","","","","","対象","表示","印字する","印字する","","",""
"0003","","","0002","ジュエルカラー","ジュエルカラー","ジュエルカラー","","","外税","標準税率","","通常","","5500","","950","","","","対象","表示","印字する","印字する","","",""
"10030","","","0002","men'sカラー","men'sカラー","men'sカラー","","","外税","標準税率","","通常","","5500","","","","","","対象","表示","印字する","印字する","","",""
"10057","","","0002","酵素ケア（新規）","酵素ケア（新規）","酵素ケア（新規）","","","外税","標準税率","","通常","","1500","","","","","","対象","表示","印字する","印字する","","",""
"10059","","","0002","酵素ケア（既存）","酵素ケア（既存）","酵素ケア（既存）","","","外税","標準税率","","通常","","1000","","","","","","対象","表示","印字する","印字する","","",""
"0006","","","0002","ブラックカラー","ブラックカラー","ブラックカラー","","","外税","標準税率","","通常","","3000","","500","","","","対象","表示","印字する","印字する","","",""
"10033","","","0002","men'sブラックカラー","men'sブラックカラー","men'sブラックカラー","","","外税","標準税率","","通常","","3000","","","","","","対象","表示","印字する","印字する","","",""
"0005","","","0002","ブリーチ","ブリーチ","ブリーチ","","","外税","標準税率","","通常","","4500","","450","","","","対象","表示","印字する","印字する","","",""
"10025","","","0002","モイスチャーカラー","モイスチャーカラー","モイスチャーカラー","","","外税","標準税率","","通常","","13500","","","","","","対象","表示","印字する","印字する","","",""
"0004","","","0002","ヘアマニキュア","ヘアマニキュア","ヘアマニキュア","","","外税","標準税率","","通常","","5500","","550","","","","対象","表示","印字する","印字する","","",""
"10058","","","0002","グリッターボンド","グリッターボンド","グリッターボンド","","","外税","標準税率","","通常","","500","","","","","","対象","表示","印字する","印字する","","",""
"0002","","","0026","前髪カット","前髪カット","前髪カット","","","外税","標準税率","","通常","","1000","","0","","","","対象","表示","印字する","印字する","","",""
"0078","","","0026","眉カット","眉　CUT","眉　CUT","","","外税","標準税率","","通常","","1000","","","","","","対象","表示","印字する","印字する","","",""
"0107","","","0026","クリッピング","【オプ】クリッピング","【オプ】クリッピング","","","外税","標準税率","","通常","","2000","","","","","","対象","表示","印字する","印字する","","",""
